Service,Team,Status,Repository,Language,Dependencies
auth-service,Platform Team,active,gitlab/auth-service,TypeScript,user-service; vault-service
api-gateway,Platform Team,active,gitlab/api-gateway,Python,auth-service
config-service,Platform Team,active,gitlab/config-service,Go,
user-service,Platform Team,active,gitlab/user-service,TypeScript,
vault-service,Security Team,active,gitlab/vault-service,Python,
cert-manager,Security Team,active,gitlab/cert-manager,Python,
audit-service,Security Team,active,gitlab/audit-service,Python,
payment-processor,Payments Team,active,gitlab/payment-processor,TypeScript,stripe-gateway; auth-service
billing-service,Payments Team,active,gitlab/billing-service,Python,payment-processor
invoice-service,Payments Team,active,gitlab/invoice-service,Python,billing-service
stripe-gateway,Payments Team,active,gitlab/stripe-gateway,TypeScript,
customer-portal,Frontend Team,active,gitlab/customer-portal,TypeScript,api-gateway; auth-service
admin-dashboard,Frontend Team,active,gitlab/admin-dashboard,Python,api-gateway
component-library,Frontend Team,active,gitlab/component-library,TypeScript,
analytics-pipeline,Data Team,active,gitlab/analytics-pipeline,Go,data-warehouse
data-warehouse,Data Team,active,gitlab/data-warehouse,Go,
reporting-service,Data Team,active,gitlab/reporting-service,TypeScript,data-warehouse
etl-worker,Data Team,active,gitlab/etl-worker,Go,analytics-pipeline
mobile-api,Mobile Team,active,gitlab/mobile-api,Go,api-gateway; push-notification-service
push-notification-service,Mobile Team,active,gitlab/push-notification-service,Python,
mobile-config,Mobile Team,active,gitlab/mobile-config,Go,
deploy-service,Infrastructure Team,active,gitlab/deploy-service,Python,config-service
monitoring-stack,Infrastructure Team,active,gitlab/monitoring-stack,Python,logging-service
logging-service,Infrastructure Team,active,gitlab/logging-service,Python,
cdn-manager,Infrastructure Team,active,gitlab/cdn-manager,Python,
test-framework,QA Team,active,gitlab/test-framework,Go,
load-testing-service,QA Team,active,gitlab/load-testing-service,Python,api-gateway
